d0000001.s001.h001 object%1:03:00::
d0002605.s001.h001 network%1:06:03::
d0002606.s001.h001 network%1:06:03::
d0002607.s001.h001 newspaper%1:06:00::
d0002608.s001.h001 nick%1:06:00::
d0002609.s001.h001 nsaid%1:06:00::
d0002610.s001.h001 nose%1:06:00::
d0002611.s001.h001 nose%1:06:02::
d0002612.s001.h001 notch%1:06:00::
d0002613.s001.h001 notion%1:06:00::
d0002614.s001.h001 novel%1:06:00::
d0002615.s001.h001 novel%1:06:00::
d0002616.s001.h001 number%1:06:00::
d0002617.s001.h001 number%1:06:00::
d0002618.s001.h001 objet_d'art%1:06:00::
d0002619.s001.h001 piece%1:06:04::
d0002620.s001.h001 oeuvre%1:06:00::
d0002621.s001.h001 work%1:06:02::
d0002622.s001.h001 office%1:06:00::
d0002623.s001.h001 opening%1:06:00::
d0002624.s001.h001 operating_room%1:06:00::
d0002625.s001.h001 getup%1:06:00::
d0002626.s001.h001 outfitter%1:06:00::
d0002627.s001.h001 outwork%1:06:00::
d0002628.s001.h001 packinghouse%1:06:01::
d0002629.s001.h001 paint%1:06:00::
d0002629.s001.h002 pigment%1:06:00::
d0002630.s001.h001 painting%1:06:00::
d0002631.s001.h001 painting%1:06:00::
d0002632.s001.h001 picture%1:06:01::
d0002633.s001.h001 panic_button%1:06:00::
d0002634.s001.h001 panic_button%1:06:00::
d0002635.s001.h001 paperclip%1:06:00::
d0002636.s001.h001 paper_feed%1:06:00::
d0002637.s001.h001 park%1:06:01::
d0002638.s001.h001 part%1:06:00::
d0002639.s001.h001 part%1:06:00::
d0002640.s001.h001 passive_matrix_display%1:06:00::
d0002641.s001.h001 paste-up%1:06:00::
d0002642.s001.h001 pedicab%1:06:00::
d0002643.s001.h001 peeler%1:06:00::
d0002644.s001.h001 pencil%1:06:01::
d0002645.s001.h001 peripheral%1:06:00::
d0002646.s001.h001 phenylpropanolamine%1:06:00::
d0002647.s001.h001 pick%1:06:00::
d0002648.s001.h001 pick%1:06:01::
d0002649.s001.h001 pickup%1:06:03::
d0002650.s001.h001 picture%1:06:00::
d0002651.s001.h001 image%1:06:00::
d0002652.s001.h001 piece%1:06:00::
d0002653.s001.h001 piece%1:06:05::
d0002654.s001.h001 piece%1:06:05::
d0002655.s001.h001 pied-a-terre%1:06:00::
d0002656.s001.h001 pile%1:06:02::
d0002657.s001.h001 pinball_machine%1:06:00::
d0002657.s001.h002 pin_table%1:06:00::
d0002658.s001.h001 pinwheel%1:06:02::
d0002659.s001.h001 pipeline%1:06:00::
d0002660.s001.h001 quarry%1:06:00::
d0002660.s001.h002 stone_pit%1:06:00::
d0002661.s001.h001 pixel%1:06:00::
d0002662.s001.h001 place_setting%1:06:00::
d0002663.s001.h001 plan%1:06:00::
d0002664.s001.h001 plane%1:06:00::
d0002665.s001.h001 plant%1:06:01::
d0002666.s001.h001 plaster%1:06:01::
d0002667.s001.h001 platform%1:06:00::
d0002668.s001.h001 plaza%1:06:01::
d0002669.s001.h001 mall%1:06:01::
d0002672.s001.h001 p-n_junction%1:06:00::
d0002673.s001.h001 point%1:06:00::
d0002674.s001.h001 point%1:06:00::
d0002675.s001.h001 point%1:06:02::
d0002676.s001.h001 porringer%1:06:00::
d0002677.s001.h001 portal%1:06:01::
d0002678.s001.h001 portal%1:06:01::
d0002679.s001.h001 portal%1:06:01::
d0002680.s001.h001 portfolio%1:06:00::
d0002681.s001.h001 portrait%1:06:00::
d0002682.s001.h001 post%1:06:00::
d0002683.s001.h001 potter's_wheel%1:06:00::
d0002684.s001.h001 pound%1:06:00::
d0002685.s001.h001 prescription%1:06:00::
d0002686.s001.h001 presidio%1:06:00::
d0002687.s001.h001 preventative%1:06:01::
d0002688.s001.h001 primary_coil%1:06:00::
d0002689.s001.h001 product%1:06:00::
d0002690.s001.h001 production%1:06:00::
d0002691.s001.h001 prop%1:06:02::
d0002692.s001.h001 protection%1:06:00::
d0002693.s001.h001 protection%1:06:00::
d0002694.s001.h001 pull%1:06:01::
d0002695.s001.h001 pullback%1:06:00::
d0002696.s001.h001 push_button%1:06:00::
d0002697.s001.h001 push%1:06:00::
d0002698.s001.h001 power_pylon%1:06:00::
d0002699.s001.h001 quadruplicate%1:06:00::
d0002700.s001.h001 rack%1:06:00::
d0002701.s001.h001 rail%1:06:03::
d0002702.s001.h001 rail%1:06:03::
d0002703.s001.h001 railroad_track%1:06:00::
d0002704.s001.h001 ram_disk%1:06:00::
d0002705.s001.h001 rampart%1:06:00::
d0002706.s001.h001 wall%1:06:01::
d0002707.s001.h001 range%1:06:00::
d0002708.s001.h001 range%1:06:00::
d0002709.s001.h001 ready-made%1:06:00::
d0002710.s001.h001 ready-to-wear%1:06:00::
d0002711.s001.h001 back%1:06:00::
d0002712.s001.h001 reed%1:06:01::
d0002713.s001.h001 refill%1:06:00::
d0002714.s001.h001 refill%1:06:00::
d0002715.s001.h001 refill%1:06:01::
d0002716.s001.h001 refill%1:06:01::
d0002717.s001.h001 reflecting_telescope%1:06:00::
d0002718.s001.h001 reflection%1:06:00::
d0002719.s001.h001 reformer%1:06:00::
d0002720.s001.h001 release%1:06:00::
d0002721.s001.h001 remake%1:06:00::
d0002722.s001.h001 remote%1:06:00::
d0002723.s001.h001 repeater%1:06:01::
d0002724.s001.h001 residence%1:06:00::
d0002725.s001.h001 rest%1:06:00::
d0002726.s001.h001 restraint%1:06:00::
d0002727.s001.h001 reticulation%1:06:00::
d0002728.s001.h001 reticulation%1:06:00::
d0002729.s001.h001 restoration%1:06:00::
d0002730.s001.h001 rifle%1:06:00::
d0002731.s001.h001 rifle_range%1:06:00::
d0002732.s001.h001 rigger%1:06:01::
d0002733.s001.h001 rigout%1:06:00::
d0002734.s001.h001 rim%1:06:03::
d0002735.s001.h001 ring%1:06:00::
d0002736.s001.h001 band%1:06:03::
d0002737.s001.h001 rings%1:06:00::
d0002738.s001.h001 rivet_line%1:06:00::
d0002739.s001.h001 rolodex%1:06:00::
d0002740.s001.h001 room%1:06:00::
d0002741.s001.h001 rotor%1:06:00::
d0002741.s001.h002 rotor%1:06:00::
d0002742.s001.h001 ruin%1:06:00::
d0002743.s001.h001 saddle_seat%1:06:00::
d0002744.s001.h001 coin_bank%1:06:00::
d0002745.s001.h001 scan%1:06:00::
d0002746.s001.h001 cat_scan%1:06:00::
d0002747.s001.h001 scanner%1:06:00::
d0002748.s001.h001 scene%1:06:01::
d0002749.s001.h001 view%1:06:00::
d0002750.s001.h001 scenery%1:06:00::
d0002751.s001.h001 school%1:06:00::
d0002752.s001.h001 school%1:06:00::
d0002753.s001.h001 schoolbag%1:06:00::
d0002754.s001.h001 scoop%1:06:00::
d0002755.s001.h001 scopolamine%1:06:00::
d0002756.s001.h001 scopolamine%1:06:00::
d0002757.s001.h001 scrap%1:06:00::
d0002758.s001.h001 scrap%1:06:00::
d0002759.s001.h001 screen%1:06:00::
d0002760.s001.h001 screen%1:06:00::
d0002761.s001.h001 screen%1:06:01::
d0002762.s001.h001 cover%1:06:02::
d0002763.s001.h001 covert%1:06:00::
d0002764.s001.h001 concealment%1:06:00::
d0002765.s001.h001 screen%1:06:07::
d0002766.s001.h001 screen_saver%1:06:00::
d0002767.s001.h001 hydroplane%1:06:00::
d0002768.s001.h001 seat%1:06:00::
d0002769.s001.h001 seat%1:06:01::
d0002770.s001.h001 seat%1:06:02::
d0002771.s001.h001 seating%1:06:00::
d0002772.s001.h001 second%1:06:00::
d0002773.s001.h001 section%1:06:00::
d0002774.s001.h001 section%1:06:00::
d0002775.s001.h001 segment%1:06:00::
d0002776.s001.h001 feeder%1:06:00::
d0002777.s001.h001 serration%1:06:01::
d0002778.s001.h001 set%1:06:01::
d0002779.s001.h001 sewing%1:06:00::
d0002780.s001.h001 shade%1:06:00::
d0002781.s001.h001 shade%1:06:00::
d0002782.s001.h001 shag%1:06:00::
d0002783.s001.h001 sharpener%1:06:00::
d0002784.s001.h001 case%1:06:06::
d0002785.s001.h001 shirtfront%1:06:01::
d0002786.s001.h001 shirtwaist%1:06:00::
d0002786.s001.h002 shirtwaister%1:06:00::
d0002787.s001.h001 shock%1:06:00::
d0002788.s001.h001 shop%1:06:00::
d0002789.s001.h001 shop_floor%1:06:00::
d0002790.s001.h001 shopping%1:06:00::
d0002790.s001.h002 shopping%1:06:00::
d0002791.s001.h001 shot%1:06:00::
d0002792.s001.h001 shot%1:06:03::
d0002793.s001.h001 shoulder%1:06:00::
d0002794.s001.h001 shoulder%1:06:01::
d0002795.s001.h001 shower%1:06:00::
d0002796.s001.h001 showroom%1:06:00::
d0002796.s001.h002 salesroom%1:06:00::
d0002797.s001.h001 side%1:06:00::
d0002798.s001.h001 side%1:06:00::
d0002799.s001.h001 sidewall%1:06:01::
d0002800.s001.h001 signboard%1:06:00::
d0002801.s001.h001 skeleton%1:06:00::
d0002802.s001.h001 study%1:06:01::
d0002803.s001.h001 skin%1:06:01::
d0002804.s001.h001 slack%1:06:00::
d0002805.s001.h001 slip%1:06:04::
d0002806.s001.h001 slot%1:06:00::
d0002807.s001.h001 slot%1:06:01::
d0002808.s001.h002 slot%1:06:02::
d0002809.s001.h001 smart_bomb%1:06:00::
d0002810.s001.h001 snap%1:06:00::
d0002811.s001.h001 snapshot%1:06:00::
d0002812.s001.h001 shot%1:06:01::
d0002813.s001.h001 snorter%1:06:00::
d0002814.s001.h001 snorter%1:06:00::
d0002815.s001.h001 sonar%1:06:00::
d0002816.s001.h001 asdic%1:06:00::
d0002817.s001.h001 spade%1:06:01::
d0002818.s001.h001 spade%1:06:01::
d0002819.s001.h001 specific%1:06:00::
d0002820.s001.h001 spike%1:06:00::
d0002821.s001.h001 spike%1:06:01::
d0002822.s001.h001 spike%1:06:02::
d0002823.s001.h001 spike%1:06:03::
d0002824.s001.h001 spike%1:06:06::
d0002825.s001.h001 spike%1:06:06::
d0002826.s001.h001 spine%1:06:00::
d0002827.s001.h001 splice%1:06:01::
d0002828.s001.h001 split%1:06:00::
d0002829.s001.h001 spot%1:06:00::
d0002831.s001.h001 spreader%1:06:00::
d0002832.s001.h001 spring%1:06:00::
d0002833.s001.h001 spur%1:06:00::
d0002834.s001.h001 sputnik%1:06:00::
d0002835.s001.h001 square%1:06:00::
d0002836.s001.h001 square%1:06:01::
d0002837.s001.h001 squeaker%1:06:00::
d0002838.s001.h001 squeaker%1:06:00::
d0002839.s001.h001 staff%1:06:00::
d0002840.s001.h001 stage%1:06:00::
d0002841.s001.h001 stage%1:06:01::
d0002842.s001.h001 set%1:06:00::
d0002843.s001.h001 stamper%1:06:00::
d0002844.s001.h001 stand%1:06:04::
d0002845.s001.h001 standard%1:06:02::
d0002846.s001.h001 standard%1:06:02::
d0002847.s001.h001 standee%1:06:00::
d0002848.s001.h001 standing_room%1:06:00::
d0002849.s001.h001 stash_house%1:06:00::
d0002850.s001.h001 station%1:06:00::
d0002851.s001.h001 station%1:06:00::
d0002852.s001.h001 step%1:06:00::
d0002853.s001.h001 stick%1:06:00::
d0002854.s001.h001 stick%1:06:00::
d0002855.s001.h001 stick%1:06:01::
d0002856.s001.h001 stick%1:06:01::
d0002857.s001.h001 still%1:06:01::
d0002858.s001.h001 stilt%1:06:00::
d0002859.s001.h001 inventory%1:06:00::
d0002860.s001.h001 inventory%1:06:00::
d0002861.s001.h001 stock%1:06:01::
d0002862.s001.h001 stock%1:06:02::
d0002863.s001.h001 stock%1:06:04::
d0002865.s001.h001 stone%1:06:00::
d0002866.s001.h001 stop%1:06:03::
d0002867.s001.h001 stopper%1:06:01::
d0002868.s001.h001 storehouse%1:06:00::
d0002869.s001.h001 stove%1:06:01::
d0002870.s001.h001 straightener%1:06:00::
d0002871.s001.h001 street%1:06:00::
d0002873.s001.h001 street%1:06:01::
d0002874.s001.h001 strengthener%1:06:00::
d0002875.s001.h001 reinforcement%1:06:00::
d0002876.s001.h001 structure%1:06:00::
d0002877.s001.h001 construction%1:06:00::
d0002878.s001.h001 studio%1:06:00::
d0002879.s001.h001 studio%1:06:00::
d0002880.s001.h001 studio%1:06:00::
d0002881.s001.h001 study%1:06:00::
d0002882.s001.h001 stuff%1:06:00::
d0002883.s001.h001 stylus%1:06:00::
d0002884.s001.h001 subject%1:06:00::
d0002885.s001.h001 suit%1:06:00::
d0002886.s001.h001 suit%1:06:01::
d0002887.s001.h001 suit%1:06:01::
d0002888.s001.h001 suit%1:06:01::
d0002889.s001.h001 shades%1:06:00::
d0002890.s001.h001 sunshine-roof%1:06:00::
d0002890.s001.h002 sunroof%1:06:00::
d0002891.s001.h001 support%1:06:00::
d0002892.s001.h001 support%1:06:01::
d0002893.s001.h001 surface%1:06:00::
d0002894.s001.h001 surface%1:06:00::
d0002895.s001.h001 surgery%1:06:01::
d0002896.s001.h001 swimming_bath%1:06:00::
d0002897.s001.h001 system%1:06:00::
d0002898.s001.h001 system%1:06:00::
d0002899.s001.h001 tab%1:06:01::
d0002900.s001.h001 tab%1:06:01::
d0002901.s001.h001 tab%1:06:01::
d0002902.s001.h001 tab%1:06:01::
d0002903.s001.h001 table%1:06:01::
d0002904.s001.h001 table%1:06:02::
d0002905.s001.h001 tablet%1:06:01::
d0002906.s001.h001 take-up%1:06:00::
d0002907.s001.h001 tape%1:06:00::
d0002908.s001.h001 tape%1:06:00::
d0002909.s001.h001 tape%1:06:01::
d0002910.s001.h001 tape_measure%1:06:00::
d0002911.s001.h001 teaser%1:06:01::
d0002912.s001.h001 telecom_hotel%1:06:00::
d0002913.s001.h001 telephone%1:06:00::
d0002914.s001.h001 tv_set%1:06:00::
d0002914.s001.h002 telly%1:06:00::
d0002915.s001.h001 tent%1:06:00::
d0002916.s001.h001 house%1:06:02::
d0002917.s001.h001 thermobaric_bomb%1:06:00::
d0002918.s001.h001 thing%1:06:00::
d0002919.s001.h001 thing%1:06:01::
d0002920.s001.h001 third%1:06:01::
d0002921.s001.h001 third_gear%1:06:00::
d0002922.s001.h001 thong%1:06:04::
d0002923.s001.h001 throat%1:06:00::
d0002924.s001.h001 throat%1:06:00::
d0002925.s001.h001 throne%1:06:00::
d0002926.s001.h001 tie%1:06:00::
d0002927.s001.h001 tie_beam%1:06:00::
d0002928.s001.h001 railroad_tie%1:06:00::
d0002928.s001.h002 sleeper%1:06:01::
d0002929.s001.h001 tier%1:06:00::
d0002929.s001.h002 tier%1:06:00::
d0002930.s001.h001 tier%1:06:00::
d0002931.s001.h001 tier%1:06:01::
d0002932.s001.h001 tinsel%1:06:01::
d0002933.s001.h001 tire%1:06:00::
d0002934.s001.h001 toe_box%1:06:00::
d0002935.s001.h001 tole%1:06:00::
d0002936.s001.h001 top%1:06:00::
d0002937.s001.h001 top%1:06:01::
d0002938.s001.h001 top%1:06:01::
d0002939.s001.h001 cover%1:06:03::
d0002940.s001.h001 top%1:06:03::
d0002941.s001.h001 toy%1:06:03::
d0002942.s001.h001 toy%1:06:02::
d0002943.s001.h001 trackball%1:06:00::
d0002944.s001.h001 rotary%1:06:00::
d0002945.s001.h001 traffic_lane%1:06:00::
d0002946.s001.h001 train%1:06:00::
d0002947.s001.h001 train%1:06:02::
d0002948.s001.h001 tramcar%1:06:00::
d0002949.s001.h001 trimming%1:06:00::
d0002950.s001.h001 trim%1:06:00::
d0002951.s001.h001 tripper%1:06:00::
d0002952.s001.h001 troll%1:06:00::
d0002953.s001.h001 trouser%1:06:01::
d0002954.s001.h001 trouser%1:06:01::
d0002955.s001.h001 trouser%1:06:00::
d0002956.s001.h001 trump%1:06:02::
d0002957.s001.h001 trump%1:06:02::
d0002958.s001.h001 trump%1:06:00::
d0002960.s001.h001 tunnel%1:06:00::
d0002961.s001.h001 turnoff%1:06:00::
d0002962.s001.h001 tweeter%1:06:00::
d0002963.s001.h001 two-way_street%1:06:00::
d0002964.s001.h001 type%1:06:00::
d0002965.s001.h001 universal_joint%1:06:00::
d0002966.s001.h001 upper%1:06:00::
d0002967.s001.h001 upright%1:06:01::
d0002968.s001.h001 upstairs%1:06:00::
d0002969.s001.h001 uss_cole%1:06:00::
d0002970.s001.h001 utility%1:06:00::
d0002971.s001.h001 uzi%1:06:00::
d0002972.s001.h001 variation%1:06:00::
d0002973.s001.h001 vaulting%1:06:00::
d0002974.s001.h001 ventilation%1:06:00::
d0002975.s001.h001 vibrator%1:06:01::
d0002976.s001.h001 walk%1:06:00::
d0002977.s001.h001 wall%1:06:00::
d0002978.s001.h001 wall%1:06:00::
d0002979.s001.h001 wall%1:06:02::
d0002980.s001.h001 wall%1:06:02::
d0002981.s001.h001 wall%1:06:03::
d0002982.s001.h001 wall%1:06:03::
d0002983.s001.h001 ward%1:06:00::
d0002984.s001.h001 basin%1:06:01::
d0002985.s001.h001 water_supply%1:06:00::
d0002986.s001.h001 water%1:06:00::
d0002987.s001.h001 way%1:06:00::
d0002988.s001.h001 wayside%1:06:00::
d0002989.s001.h001 weapon%1:06:00::
d0002990.s001.h001 wheeled_vehicle%1:06:00::
d0002991.s001.h001 wick%1:06:01::
d0002992.s001.h001 window%1:06:05::
d0002993.s001.h001 window%1:06:04::
d0002994.s001.h001 wood%1:06:02::
d0002995.s001.h001 work%1:06:00::
d0002996.s001.h001 work%1:06:00::
d0002997.s001.h001 work%1:06:00::
d0002998.s001.h001 work%1:06:00::
d0002999.s001.h001 work%1:06:00::
d0003000.s001.h001 workhorse%1:06:00::
d0003001.s001.h001 work%1:06:01::
d0003002.s001.h001 wreckage%1:06:00::
d0003003.s001.h001 yard%1:06:02::
d0003004.s001.h001 zapper%1:06:00::
d0003005.s001.h001 human_nature%1:07:00::
d0003006.s001.h001 thing%1:07:00::
d0003007.s001.h001 personality%1:07:00::
d0003009.s001.h001 identity%1:07:00::
d0003010.s001.h001 personhood%1:07:00::
d0003011.s001.h001 character%1:07:01::
d0003012.s001.h001 outwardness%1:07:02::
d0003013.s001.h001 inwardness%1:07:02::
d0003014.s001.h001 worldliness%1:07:01::
d0003015.s001.h001 nature%1:07:01::
d0003016.s001.h001 disposition%1:07:00::
d0003017.s001.h001 heart%1:07:04::
d0003018.s001.h001 corn%1:07:00::
d0003019.s001.h001 blood%1:07:00::
d0003020.s001.h001 boiling_point%1:07:00::
d0003021.s001.h001 blandness%1:07:02::
d0003022.s001.h001 coldness%1:07:01::
d0003023.s001.h001 stone%1:07:00::
d0003024.s001.h001 stone%1:07:00::
d0003025.s001.h001 dispassion%1:07:00::
d0003025.s001.h002 dryness%1:07:00::
d0003026.s001.h001 cheerfulness%1:07:00::
d0003027.s001.h001 life%1:07:01::
d0003028.s001.h001 pertness%1:07:01::
d0003029.s001.h001 alacrity%1:07:01::
d0003030.s001.h001 smartness%1:07:01::
d0003031.s001.h001 energy%1:07:01::
d0003032.s001.h001 muscularity%1:07:01::
d0003033.s001.h001 elan%1:07:00::
d0003034.s001.h001 breeziness%1:07:00::
d0003035.s001.h001 buoyancy%1:07:01::
d0003036.s001.h001 pep%1:07:00::
d0003037.s001.h001 activity%1:07:00::
d0003038.s001.h001 inertia%1:07:01::
d0003039.s001.h001 sluggishness%1:07:00::
d0003040.s001.h001 restfulness%1:07:00::
d0003041.s001.h001 perfectionism%1:07:00::
d0003042.s001.h001 toleration%1:07:00::
d0003043.s001.h001 indulgence%1:07:02::
d0003044.s001.h001 softness%1:07:02::
d0003045.s001.h001 severity%1:07:00::
d0003046.s001.h001 harshness%1:07:02::
d0003047.s001.h001 rigor%1:07:02::
d0003048.s001.h001 grace%1:07:03::
d0003049.s001.h001 temper%1:07:02::
d0003050.s001.h001 intolerance%1:07:02::
d0003051.s001.h001 litigiousness%1:07:00::
d0003052.s001.h001 willingness%1:07:00::
d0003053.s001.h001 readiness%1:07:01::
d0003054.s001.h001 eagerness%1:07:00::
d0003055.s001.h001 zeal%1:07:00::
d0003056.s001.h001 forwardness%1:07:00::
d0003057.s001.h001 receptiveness%1:07:00::
d0003058.s001.h001 receptiveness%1:07:00::
d0003059.s001.h001 receptivity%1:07:00::
d0003060.s001.h001 unwillingness%1:07:00::
d0003061.s001.h001 involuntariness%1:07:00::
d0003062.s001.h001 reluctance%1:07:00::
d0003063.s001.h001 hesitancy%1:07:00::
d0003063.s001.h002 indisposition%1:07:00::
d0003064.s001.h001 hesitation%1:07:01::
d0003065.s001.h001 seriousness%1:07:00::
d0003066.s001.h001 commitment%1:07:01::
d0003067.s001.h001 investment%1:07:00::
d0003068.s001.h001 investment%1:07:00::
d0003070.s001.h001 playfulness%1:07:00::
d0003071.s001.h001 fun%1:07:00::
d0003072.s001.h001 humor%1:07:01::
d0003073.s001.h001 sense_of_humor%1:07:00::
d0003074.s001.h001 silence%1:07:01::
d0003075.s001.h001 mum%1:07:00::
d0003076.s001.h001 sociality%1:07:00::
d0003077.s001.h001 condescension%1:07:01::
d0003078.s001.h001 intimacy%1:07:02::
d0003079.s001.h001 sweetness_and_light%1:07:00::
d0003080.s001.h001 hostility%1:07:00::
d0003081.s001.h001 virulence%1:07:01::
d0003082.s001.h001 flexibility%1:07:01::
d0003083.s001.h001 wiggle_room%1:07:00::
d0003084.s001.h001 pliability%1:07:01::
d0003085.s001.h001 suppleness%1:07:02::
d0003086.s001.h001 deliberation%1:07:00::
d0003087.s001.h001 desperation%1:07:00::
d0003088.s001.h001 carefulness%1:07:00::
d0003089.s001.h001 caution%1:07:00::
d0003090.s001.h001 weather_eye%1:07:00::
d0003091.s001.h001 delinquency%1:07:00::
d0003092.s001.h001 dereliction%1:07:00::
d0003093.s001.h001 willful_neglect%1:07:00::
d0003094.s001.h001 effeminacy%1:07:00::
d0003095.s001.h001 effeminateness%1:07:00::
d0003096.s001.h001 softness%1:07:04::
d0003097.s001.h001 responsibility%1:07:00::
d0003098.s001.h001 fault%1:07:01::
d0003099.s001.h001 solidity%1:07:00::
d0003100.s001.h001 solidness%1:07:01::
d0003101.s001.h001 flightiness%1:07:00::
d0003101.s001.h002 whimsicality%1:07:01::
d0003102.s001.h001 recommendation%1:07:00::
d0003103.s001.h001 passport%1:07:00::
d0003104.s001.h001 look%1:07:00::
d0003105.s001.h001 view%1:07:01::
d0003106.s001.h001 impression%1:07:00::
d0003107.s001.h001 impression%1:07:00::
d0003108.s001.h001 effect%1:07:00::
d0003109.s001.h001 figure%1:07:00::
d0003110.s001.h001 figure%1:07:00::
d0003111.s001.h001 image%1:07:01::
d0003112.s001.h001 image%1:07:01::
d0003113.s001.h001 mark%1:07:02::
d0003114.s001.h001 mark%1:07:02::
d0003115.s001.h001 phase%1:07:00::
d0003116.s001.h001 superficies%1:07:00::
d0003117.s001.h001 cast%1:07:00::
d0003118.s001.h001 image%1:07:00::
d0003119.s001.h001 semblance%1:07:00::
d0003120.s001.h001 gloss%1:07:01::
d0003121.s001.h001 color%1:07:04::
d0003122.s001.h001 color_of_law%1:07:00::
d0003123.s001.h001 guise%1:07:00::
d0003124.s001.h001 disguise%1:07:00::
d0003125.s001.h001 face%1:07:00::
d0003126.s001.h001 countenance%1:07:00::
d0003127.s001.h001 visage%1:07:00::
d0003128.s001.h001 expression%1:07:00::
d0003129.s001.h001 look%1:07:01::
d0003130.s001.h001 face%1:07:03::
d0003131.s001.h001 band%1:07:00::
d0003132.s001.h001 banding%1:07:00::
d0003133.s001.h001 blaze%1:07:01::
d0003134.s001.h001 blaze%1:07:01::
d0003135.s001.h001 speck%1:07:00::
d0003136.s001.h001 splash%1:07:00::
d0003137.s001.h001 spot%1:07:01::
d0003138.s001.h001 spot%1:07:01::
d0003139.s001.h001 patch%1:07:00::
d0003140.s001.h001 patch%1:07:00::
d0003141.s001.h001 fleck%1:07:00::
d0003142.s001.h001 stripe%1:07:00::
d0003142.s001.h002 bar%1:07:00::
d0003144.s001.h001 glory%1:07:00::
d0003145.s001.h001 pleasingness%1:07:00::
d0003146.s001.h001 sultriness%1:07:00::
d0003147.s001.h001 sultriness%1:07:00::
d0003148.s001.h001 appeal%1:07:00::
d0003149.s001.h001 siren_call%1:07:00::
d0003150.s001.h001 spiff%1:07:00::
d0003151.s001.h001 attraction%1:07:00::
d0003152.s001.h001 affinity%1:07:02::
d0003153.s001.h001 affinity%1:07:02::
d0003154.s001.h001 affinity%1:07:02::
d0003155.s001.h001 invitation%1:07:00::
d0003156.s001.h001 fascination%1:07:00::
d0003157.s001.h001 show-stopper%1:07:00::
d0003158.s001.h001 showstopper%1:07:00::
d0003159.s001.h001 disfigurement%1:07:00::
d0003160.s001.h001 disfiguration%1:07:00::
d0003161.s001.h001 homeliness%1:07:00::
d0003162.s001.h001 blemish%1:07:00::
d0003163.s001.h001 crack%1:07:00::
d0003164.s001.h001 dig%1:07:00::
d0003165.s001.h001 cigarette_burn%1:07:00::
d0003166.s001.h001 smudge%1:07:00::
d0003167.s001.h001 stain%1:07:00::
d0003168.s001.h001 plantar_wart%1:07:00::
d0003169.s001.h001 restraint%1:07:01::
d0003170.s001.h001 starkness%1:07:00::
d0003171.s001.h001 flamboyance%1:07:00::
d0003172.s001.h001 etiolation%1:07:00::
d0003173.s001.h001 finish%1:07:00::
d0003174.s001.h001 finish%1:07:00::
d0003175.s001.h001 finish%1:07:00::
d0003176.s001.h001 shoeshine%1:07:00::
d0003177.s001.h001 clarity%1:07:00::
d0003178.s001.h001 visibility%1:07:03::
d0003179.s001.h001 definition%1:07:00::
d0003180.s001.h001 focus%1:07:01::
d0003181.s001.h001 focus%1:07:01::
d0003182.s001.h001 vagueness%1:07:01::
d0003183.s001.h001 fissiparity%1:07:00::
d0003184.s001.h001 dullness%1:07:01::
d0003185.s001.h001 blatancy%1:07:00::
d0003186.s001.h001 predomination%1:07:00::
d0003187.s001.h001 ease%1:07:00::
d0003188.s001.h001 ease%1:07:00::
d0003189.s001.h001 easiness%1:07:00::
d0003190.s001.h001 effortlessness%1:07:00::
d0003191.s001.h001 facility%1:07:00::
d0003192.s001.h001 readiness%1:07:02::
d0003193.s001.h001 smoothness%1:07:02::
d0003194.s001.h001 difficulty%1:07:00::
d0003195.s001.h001 asperity%1:07:01::
d0003196.s001.h001 sternness%1:07:01::
d0003197.s001.h001 hardness%1:07:02::
d0003198.s001.h001 ruggedness%1:07:02::
d0003199.s001.h001 subtlety%1:07:00::
d0003200.s001.h001 unwieldiness%1:07:00::
d0003201.s001.h001 unwieldiness%1:07:01::
d0003202.s001.h001 unwieldiness%1:07:01::
d0003203.s001.h001 agreement%1:07:00::
d0003204.s001.h001 correspondence%1:07:02::
d0003205.s001.h001 justness%1:07:01::
d0003206.s001.h001 conflict%1:07:00::
d0003207.s001.h001 irony%1:07:00::
d0003208.s001.h001 suitability%1:07:00::
d0003209.s001.h001 aptness%1:07:00::
d0003210.s001.h001 just_the_ticket%1:07:00::
d0003211.s001.h001 fitness%1:07:00::
d0003212.s001.h001 qualification%1:07:00::
d0003213.s001.h001 qualification%1:07:00::
d0003214.s001.h001 making%1:07:00::
d0003215.s001.h001 eligibility%1:07:00::
d0003216.s001.h001 eligibility%1:07:00::
d0003217.s001.h001 convenience%1:07:00::
d0003218.s001.h001 command%1:07:02::
d0003219.s001.h001 neediness%1:07:00::
d0003220.s001.h001 painfulness%1:07:00::
d0003221.s001.h001 sharpness%1:07:05::
d0003222.s001.h001 publicity%1:07:00::
d0003223.s001.h001 inaptness%1:07:00::
d0003224.s001.h001 inappropriateness%1:07:00::
d0003225.s001.h001 unworthiness%1:07:01::
d0003226.s001.h001 unfitness%1:07:00::
d0003227.s001.h001 ethos%1:07:00::
d0003228.s001.h001 protectiveness%1:07:00::
d0003229.s001.h001 quality%1:07:00::
d0003230.s001.h001 nature%1:07:02::
d0003231.s001.h001 nature%1:07:02::
d0003232.s001.h001 manhood%1:07:00::
d0003233.s001.h001 air%1:07:00::
d0003234.s001.h001 air%1:07:00::
d0003235.s001.h001 atmosphere%1:07:00::
d0003236.s001.h001 aura%1:07:01::
d0003237.s001.h001 note%1:07:00::
